Region,Value
Koroška,5.473366577888593
Savinjska,4.748937372780704
Zasavska,5.664519540450897
Posavska,5.010175974424479
Jugovzhodna Slovenija,4.389052432792712
Primorsko-notranjska,3.921094701583435
Osrednjeslovenska,3.408534932784437
Gorenjska,4.26155274344066
Goriška,5.2415317643857975
Pomurska,5.753095277678126
Podravska,4.447615580184139
Obalno-kraška,4.89523196772623
